epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2275.7,0.71183,0.54075,1.03804,0.93975,0.93574,0.96083,0.84351,0.51837,0.3463,0.8647,0.004324,0.004324,0.004324
45,2326.75,0.685,0.52552,1.01702,0.94195,0.93404,0.958,0.83949,0.5234,0.35467,0.87022,0.004192,0.004192,0.004192
46,2366.61,0.68299,0.51363,1.01811,0.93679,0.93275,0.95948,0.85103,0.50214,0.34614,0.86148,0.00406,0.00406,0.00406
47,2412.95,0.6891,0.51391,1.02277,0.92158,0.9466,0.96041,0.84889,0.50047,0.33711,0.86171,0.003928,0.003928,0.003928
48,2459.78,0.67288,0.49295,1.01825,0.93228,0.94801,0.96068,0.84939,0.50228,0.33999,0.86504,0.003796,0.003796,0.003796
49,2505.75,0.66422,0.49408,1.01286,0.93245,0.94069,0.96019,0.85013,0.48974,0.33595,0.86199,0.003664,0.003664,0.003664
50,2536.78,0.66377,0.48895,0.99864,0.92966,0.94238,0.96009,0.85322,0.49559,0.34475,0.85942,0.003532,0.003532,0.003532
51,2579.59,0.66121,0.48955,1.01568,0.92422,0.94999,0.95965,0.85083,0.50239,0.34079,0.86243,0.0034,0.0034,0.0034
52,2622.14,0.65655,0.491,1.00781,0.93234,0.9461,0.96562,0.85928,0.48866,0.32886,0.8596,0.003268,0.003268,0.003268
53,2652.94,0.64874,0.49046,1.00769,0.938,0.93885,0.96549,0.85943,0.48967,0.32728,0.86218,0.003136,0.003136,0.003136
54,2683.79,0.63516,0.47011,0.99451,0.93338,0.94029,0.96386,0.85895,0.48663,0.32751,0.86127,0.003004,0.003004,0.003004
55,2716.85,0.64241,0.46591,1.00133,0.92202,0.95114,0.96215,0.85785,0.48659,0.32865,0.85542,0.002872,0.002872,0.002872
56,2791.34,0.64704,0.47186,1.00018,0.92058,0.94919,0.96087,0.85303,0.4925,0.33677,0.85339,0.00274,0.00274,0.00274
57,2831.6,0.62493,0.45298,0.99853,0.91458,0.95142,0.95869,0.85229,0.49085,0.3298,0.85562,0.002608,0.002608,0.002608
58,2862.4,0.61621,0.45225,0.99117,0.9301,0.94335,0.95722,0.85274,0.4908,0.33017,0.85306,0.002476,0.002476,0.002476
59,2895.32,0.61341,0.43934,0.98637,0.92607,0.94552,0.95885,0.85804,0.48139,0.32574,0.85154,0.002344,0.002344,0.002344
60,2932.21,0.60946,0.43031,0.9798,0.92542,0.94583,0.96143,0.86007,0.47615,0.32418,0.84953,0.002212,0.002212,0.002212
61,2963.01,0.60495,0.43692,0.9869,0.92791,0.94982,0.96319,0.86107,0.47797,0.31671,0.84998,0.00208,0.00208,0.00208
62,2996.24,0.60207,0.43988,0.97197,0.93171,0.9473,0.96456,0.85995,0.49104,0.31416,0.84936,0.001948,0.001948,0.001948
63,3032.89,0.59721,0.43531,0.9774,0.93108,0.94755,0.96482,0.86049,0.48568,0.3125,0.8507,0.001816,0.001816,0.001816
64,3069.64,0.59802,0.42387,0.9786,0.93239,0.93925,0.96477,0.86221,0.47979,0.31389,0.84986,0.001684,0.001684,0.001684
65,3110.5,0.58886,0.42979,0.97832,0.95033,0.92186,0.9663,0.86369,0.4715,0.31229,0.84885,0.001552,0.001552,0.001552
66,3157.54,0.58563,0.31278,0.94686,0.92824,0.9401,0.9647,0.86113,0.47805,0.3173,0.84988,0.00142,0.00142,0.00142
67,3205.16,0.56963,0.31213,0.94537,0.93482,0.93509,0.96347,0.86213,0.47472,0.3202,0.84851,0.001288,0.001288,0.001288
68,3238.4,0.56115,0.30288,0.93251,0.93956,0.92843,0.96023,0.86201,0.47156,0.31976,0.84721,0.001156,0.001156,0.001156
69,3277.46,0.53998,0.28699,0.92402,0.93958,0.93405,0.96314,0.86509,0.46935,0.31706,0.84683,0.001024,0.001024,0.001024
70,3314.29,0.55435,0.30604,0.93642,0.93768,0.93131,0.96222,0.86424,0.46438,0.31782,0.84573,0.000892,0.000892,0.000892
71,3347.37,0.52856,0.28785,0.91762,0.93591,0.93273,0.96186,0.86676,0.45791,0.31367,0.84605,0.00076,0.00076,0.00076
72,3383.4,0.51714,0.28037,0.91653,0.93746,0.93344,0.96228,0.8671,0.45739,0.31471,0.84598,0.000628,0.000628,0.000628
73,3416.86,0.51542,0.27974,0.91378,0.93912,0.93288,0.96157,0.8672,0.45863,0.31515,0.84651,0.000496,0.000496,0.000496
74,3447.62,0.50696,0.26941,0.90603,0.93735,0.93452,0.96028,0.86493,0.45855,0.31477,0.84582,0.000364,0.000364,0.000364
75,3486.58,0.50182,0.27504,0.91402,0.93716,0.93294,0.96025,0.86423,0.4593,0.31537,0.84547,0.000232,0.000232,0.000232
